level_id,title,maker,difficulty,clear_rate,attempts,clears,likes,tags,completion_rate,difficulty_score,popularity_score,engagement_score,timestamp,data_version
64f67b15-a2a3-4c11-b2e8-6a3b43cafa06,Level 1,Player 1,easy,37.01,517,73,416,"platformer,speedrun",0.01,0.588,0.688,0.017,2024-12-25 23:22:47.447396,1.0
92960388-6272-4d5b-a2a9-a4d2d6853850,Level 2,Player 2,normal,50.25,647,14,456,"puzzle,technical",0.48,0.357,0.987,0.688,2024-12-25 23:22:47.447396,1.0
7eabd7b7-90bf-4a32-b1cd-da441d3007cf,Level 3,Player 3,hard,93.53,499,21,414,"platformer,speedrun",0.469,0.624,0.366,0.119,2024-12-25 23:22:47.447396,1.0
538e4d38-d97e-4b73-86d6-3503c421e5da,Level 4,Player 4,expert,66.08,623,38,356,"puzzle,technical",0.31,0.033,0.508,0.371,2024-12-25 23:22:47.447396,1.0
703b5d92-38c1-48d1-b828-838d7250cbfd,Level 5,Player 5,easy,97.33,996,56,223,"platformer,speedrun",0.548,0.61,0.716,0.559,2024-12-25 23:22:47.447396,1.0
0c8905da-9152-4420-99c3-cdc2951215f6,Level 6,Player 6,normal,79.53,790,59,377,"puzzle,technical",0.783,0.114,0.917,0.294,2024-12-25 23:22:47.447396,1.0
0113ee1c-9685-42ac-b151-00bf7593d1e7,Level 7,Player 7,hard,8.27,520,32,202,"platformer,speedrun",0.412,0.213,0.927,0.348,2024-12-25 23:22:47.447396,1.0
93e21b93-0133-4784-8db5-856aa5ea9f9e,Level 8,Player 8,expert,70.6,359,3,312,"puzzle,technical",0.798,0.91,0.098,0.43,2024-12-25 23:22:47.447396,1.0
280bfb2c-8669-40d7-b6ec-898d7a4ca7ac,Level 9,Player 9,easy,82.33,771,6,104,"platformer,speedrun",0.319,0.719,0.58,0.237,2024-12-25 23:22:47.447396,1.0
85b97aed-e611-42bb-9cc8-d4eca1f1d9aa,Level 10,Player 10,normal,37.38,332,78,316,"puzzle,technical",0.516,0.385,0.897,0.186,2024-12-25 23:22:47.447396,1.0
2fcb82ca-960e-47ee-affb-b72bc72069d4,Level 11,Player 1,hard,27.58,581,23,287,"platformer,speedrun",0.374,0.704,0.129,0.501,2024-12-25 23:22:47.447396,1.0
64880fa5-9400-4740-8211-2af09c9a41d1,Level 12,Player 2,expert,14.86,76,70,214,"puzzle,technical",0.732,0.573,0.215,0.539,2024-12-25 23:22:47.447396,1.0
36f1d253-94fe-4962-9399-f867b730cb09,Level 13,Player 3,easy,83.83,963,76,495,"platformer,speedrun",0.842,0.438,0.195,0.932,2024-12-25 23:22:47.447396,1.0
760d0eb8-5733-4c8d-bdd4-b378f86076ae,Level 14,Player 4,normal,6.02,744,18,105,"puzzle,technical",0.762,0.067,0.775,0.074,2024-12-25 23:22:47.447396,1.0
28f8e5e4-1d46-4834-b427-d5ecef50374f,Level 15,Player 5,hard,91.63,938,90,314,"platformer,speedrun",0.64,0.83,0.804,0.546,2024-12-25 23:22:47.447396,1.0
c4fccb4a-c674-44c3-b12e-c5cdc230e80b,Level 16,Player 6,expert,66.35,868,51,243,"puzzle,technical",0.242,0.61,0.955,0.728,2024-12-25 23:22:47.447396,1.0
42a3d1c4-ab49-43f0-a8b8-23611d867b85,Level 17,Player 7,easy,35.19,835,11,472,"platformer,speedrun",0.202,0.638,0.951,0.252,2024-12-25 23:22:47.447396,1.0
7d88ae92-25d7-4190-8c97-6ee0c6ebfa1c,Level 18,Player 8,normal,98.92,960,66,7,"puzzle,technical",0.114,0.617,0.278,0.451,2024-12-25 23:22:47.447396,1.0
aa2c09b9-3a16-4a5f-97a2-9c833c65fcd0,Level 19,Player 9,hard,7.62,87,33,201,"platformer,speedrun",0.042,0.703,0.183,0.242,2024-12-25 23:22:47.447396,1.0
d6ca450f-2074-4206-8903-94651c97ba97,Level 20,Player 10,expert,77.68,301,43,27,"puzzle,technical",0.801,0.637,0.506,0.054,2024-12-25 23:22:47.447396,1.0
7e1c2376-46c2-47d5-aad9-a95629b1a827,Level 21,Player 1,easy,27.9,225,79,133,"platformer,speedrun",0.923,0.597,0.196,0.002,2024-12-25 23:22:47.447396,1.0
99946f1e-0da8-461e-a507-821e7b26edad,Level 22,Player 2,normal,60.19,122,59,21,"puzzle,technical",0.667,0.887,0.819,0.594,2024-12-25 23:22:47.447396,1.0
e39ce66e-4b78-4cf9-b21d-20444b227e63,Level 23,Player 3,hard,97.63,75,42,494,"platformer,speedrun",0.384,0.207,0.88,0.374,2024-12-25 23:22:47.447396,1.0
7576042e-f684-4834-ad5e-dbc81c8d8733,Level 24,Player 4,expert,52.3,831,73,402,"puzzle,technical",0.018,0.036,0.751,0.49,2024-12-25 23:22:47.447396,1.0
0535a0a8-effb-40ae-9833-1ca187dcfc3a,Level 25,Player 5,easy,40.97,982,90,96,"platformer,speedrun",0.021,0.583,0.787,0.0,2024-12-25 23:22:47.447396,1.0
4c4332c3-8028-45f4-86a0-636e3aa18b4b,Level 26,Player 6,normal,66.08,553,21,14,"puzzle,technical",0.949,0.073,0.609,0.718,2024-12-25 23:22:47.447396,1.0
498c20e7-7552-482b-9d9a-2987d2c083b1,Level 27,Player 7,hard,57.7,507,69,272,"platformer,speedrun",0.015,0.609,0.301,0.092,2024-12-25 23:22:47.447396,1.0
1a0be290-8898-4a6c-ada6-1fb6499bdb10,Level 28,Player 8,expert,57.88,860,86,293,"puzzle,technical",0.865,0.575,0.916,0.732,2024-12-25 23:22:47.447396,1.0
c41aa84f-6fc6-4e35-80b9-5d256ff37190,Level 29,Player 9,easy,72.92,814,60,439,"platformer,speedrun",0.756,0.505,0.39,0.329,2024-12-25 23:22:47.447396,1.0
f9fc68d3-6dc7-419d-8a24-0d0f1484ebcc,Level 30,Player 10,normal,82.68,167,15,366,"puzzle,technical",0.073,0.279,0.286,0.474,2024-12-25 23:22:47.447396,1.0
2cadf425-4bbc-4a8b-950f-46ad2bf10e54,Level 31,Player 1,hard,19.03,575,88,192,"platformer,speedrun",0.927,0.267,0.927,0.252,2024-12-25 23:22:47.447396,1.0
6ab726c6-00f6-42f0-b62d-0d13ad48a1e9,Level 32,Player 2,expert,57.78,34,16,388,"puzzle,technical",0.187,0.061,0.719,0.75,2024-12-25 23:22:47.447396,1.0
8b925db5-b671-45e3-933f-983c19c1b936,Level 33,Player 3,easy,70.29,463,52,181,"platformer,speedrun",0.221,0.233,0.333,0.493,2024-12-25 23:22:47.447396,1.0
ea9a009f-3e68-411d-8508-5a6ee725cec6,Level 34,Player 4,normal,20.94,127,17,166,"puzzle,technical",0.887,0.645,0.995,0.507,2024-12-25 23:22:47.447396,1.0
8e10004c-bd8b-4133-b2d7-df16bd2b5a96,Level 35,Player 5,hard,4.37,580,28,118,"platformer,speedrun",0.825,0.03,0.881,0.947,2024-12-25 23:22:47.447396,1.0
810533bd-0061-4abd-8618-3fa864e6ee77,Level 36,Player 6,expert,83.39,891,15,56,"puzzle,technical",0.46,0.17,0.257,0.266,2024-12-25 23:22:47.447396,1.0
87c081cc-46e2-46fc-bd76-5dc496d00d59,Level 37,Player 7,easy,53.15,356,20,454,"platformer,speedrun",0.208,0.059,0.59,0.206,2024-12-25 23:22:47.447396,1.0
51b87121-705e-4892-8fa2-215cce83c8e9,Level 38,Player 8,normal,15.33,62,16,202,"puzzle,technical",0.318,0.921,0.092,0.438,2024-12-25 23:22:47.447396,1.0
a4011830-515c-4d06-8f5e-3c693c4b52bd,Level 39,Player 9,hard,41.71,910,44,401,"platformer,speedrun",0.011,0.956,0.981,0.954,2024-12-25 23:22:47.447396,1.0
da845253-56fa-46ce-a03d-6e9ecbcc7aee,Level 40,Player 10,expert,93.99,755,11,349,"puzzle,technical",0.841,0.66,0.841,0.923,2024-12-25 23:22:47.447396,1.0
1573f703-02a7-4e67-b01a-bb1a6f77b26c,Level 41,Player 1,easy,23.63,507,55,320,"platformer,speedrun",0.428,0.747,0.174,0.821,2024-12-25 23:22:47.447396,1.0
dcd8a97e-0195-4672-aafb-72d7a367a740,Level 42,Player 2,normal,52.85,798,68,470,"puzzle,technical",0.27,0.252,0.318,0.532,2024-12-25 23:22:47.447396,1.0
0271530b-bdc9-4077-ba96-53a1a877954b,Level 43,Player 3,hard,56.94,490,78,346,"platformer,speedrun",0.834,0.382,0.477,0.296,2024-12-25 23:22:47.447396,1.0
5f3e3992-d67e-4046-8c03-808a2411d699,Level 44,Player 4,expert,51.46,448,73,345,"puzzle,technical",0.35,0.526,0.895,0.404,2024-12-25 23:22:47.447396,1.0
0ab694ac-1350-453d-b568-dfd6c16b1d26,Level 45,Player 5,easy,14.37,694,87,68,"platformer,speedrun",0.576,0.331,0.727,0.233,2024-12-25 23:22:47.447396,1.0
8620bae2-b90e-41c4-a4df-c69b4b40c128,Level 46,Player 6,normal,63.13,894,64,418,"puzzle,technical",0.173,0.132,0.127,0.949,2024-12-25 23:22:47.447396,1.0
22c606ac-fd14-4650-b153-37e6213112b6,Level 47,Player 7,hard,81.93,85,13,317,"platformer,speedrun",0.446,0.566,0.057,0.173,2024-12-25 23:22:47.447396,1.0
31dc2370-3fbf-4182-ad13-13319b1e7b84,Level 48,Player 8,expert,57.83,174,88,357,"puzzle,technical",0.451,0.473,0.044,0.601,2024-12-25 23:22:47.447396,1.0
d2e12346-b064-4531-b57d-f537ec7b1c7f,Level 49,Player 9,easy,63.72,606,8,492,"platformer,speedrun",0.746,0.444,0.817,0.912,2024-12-25 23:22:47.447396,1.0
2504a95b-dd2e-4495-888c-6568f272d870,Level 50,Player 10,normal,4.77,198,17,34,"puzzle,technical",0.332,0.641,0.673,0.105,2024-12-25 23:22:47.447396,1.0
47c59aa0-7b4c-4b4e-9896-ddab7888f96a,Level 51,Player 1,hard,18.89,19,29,188,"platformer,speedrun",0.096,0.982,0.806,0.15,2024-12-25 23:22:47.447396,1.0
5d53c755-c3d4-4660-94cc-387f48199704,Level 52,Player 2,expert,86.66,954,83,320,"puzzle,technical",0.032,0.506,0.656,0.542,2024-12-25 23:22:47.447396,1.0
