level_id,title,maker,difficulty,clear_rate,attempts,clears,likes,tags,completion_rate,difficulty_score,popularity_score,engagement_score,timestamp,data_version
00008ddb-8faf-4783-9eda-a44aadccfe55,Level 1,Player 1,easy,58.38,354,71,146,"platformer,speedrun",0.733,0.698,0.857,0.472,2024-12-23 11:36:58.025932,1.0
a1358a10-fd5c-424b-94de-7d2e1d16b4d5,Level 2,Player 2,normal,40.54,476,64,177,"puzzle,technical",0.723,0.577,0.617,0.842,2024-12-23 11:36:58.025932,1.0
cefcb305-2548-4a41-adb3-023b22185fdf,Level 3,Player 3,hard,6.69,763,80,102,"platformer,speedrun",0.373,0.011,0.927,0.517,2024-12-23 11:36:58.025932,1.0
028d250c-f1ea-49fe-bcc1-6291ab0ec8d1,Level 4,Player 4,expert,49.91,414,22,296,"puzzle,technical",0.691,0.732,0.689,0.775,2024-12-23 11:36:58.025932,1.0
fc9912d3-949f-4bc1-9e01-16280408628b,Level 5,Player 5,easy,24.19,419,48,447,"platformer,speedrun",0.823,0.805,0.197,0.876,2024-12-23 11:36:58.025932,1.0
8f116384-0554-4cac-afa3-62535ecfa105,Level 6,Player 6,normal,48.99,323,21,274,"puzzle,technical",0.773,0.176,0.412,0.885,2024-12-23 11:36:58.025932,1.0
d073bfeb-10be-453d-98e3-9344f3c2a918,Level 7,Player 7,hard,68.67,470,83,478,"platformer,speedrun",0.165,0.686,0.499,0.022,2024-12-23 11:36:58.025932,1.0
a691cf0b-ddfe-4f15-b100-c6b1171c3e07,Level 8,Player 8,expert,37.62,423,87,108,"puzzle,technical",0.685,0.554,0.797,0.04,2024-12-23 11:36:58.025932,1.0
418d17dc-1653-4c26-9554-067bb42f4459,Level 9,Player 9,easy,99.13,525,52,33,"platformer,speedrun",0.826,0.669,0.788,0.627,2024-12-23 11:36:58.025932,1.0
a58b3e71-2d05-43aa-ae7c-6aedaae7d696,Level 10,Player 10,normal,80.54,747,4,37,"puzzle,technical",0.983,0.285,0.949,0.617,2024-12-23 11:36:58.025932,1.0
1092aca7-1788-4ad3-96db-85857692aa14,Level 11,Player 1,hard,10.97,811,49,288,"platformer,speedrun",0.82,0.587,0.556,0.725,2024-12-23 11:36:58.025932,1.0
d17bf2b5-c6d9-4d25-a0fd-688812a5b555,Level 12,Player 2,expert,90.19,985,20,130,"puzzle,technical",0.185,0.19,0.457,0.278,2024-12-23 11:36:58.025932,1.0
846fd5ee-1547-4a22-ae8b-c621fe89c234,Level 13,Player 3,easy,40.51,563,74,354,"platformer,speedrun",0.236,0.77,0.146,0.874,2024-12-23 11:36:58.025932,1.0
c1b8ffab-e67a-4089-abaa-1cf392470487,Level 14,Player 4,normal,93.1,647,73,334,"puzzle,technical",0.198,0.623,0.634,0.453,2024-12-23 11:36:58.025932,1.0
6a13a23c-2167-48e6-87a9-1ab2e9acf0c2,Level 15,Player 5,hard,94.47,562,55,220,"platformer,speedrun",0.403,0.362,0.804,0.993,2024-12-23 11:36:58.025932,1.0
06d86c29-bb5c-4f1e-9402-ff8d53424cd8,Level 16,Player 6,expert,2.87,823,61,295,"puzzle,technical",0.475,0.84,0.272,0.188,2024-12-23 11:36:58.025932,1.0
c7621b89-b7f9-449d-b743-f2e4b69be71c,Level 17,Player 7,easy,75.53,69,27,239,"platformer,speedrun",0.479,0.216,0.066,0.622,2024-12-23 11:36:58.025932,1.0
2e9233e9-4a42-472e-8111-c549e635286e,Level 18,Player 8,normal,21.12,131,8,145,"puzzle,technical",0.257,0.995,0.989,0.223,2024-12-23 11:36:58.025932,1.0
344e04a5-8e46-40c9-974e-227253bc8034,Level 19,Player 9,hard,82.27,210,71,199,"platformer,speedrun",0.943,0.359,0.04,0.771,2024-12-23 11:36:58.025932,1.0
