level_id,title,maker,difficulty,clear_rate,attempts,clears,likes,tags,completion_rate,difficulty_score,popularity_score,engagement_score,timestamp,data_version
98e7f000-7088-4b81-928b-89aa1ce4c5f7,Level 1,Player 1,easy,36.18,826,76,172,"platformer,speedrun",0.024,0.072,0.124,0.693,2024-12-24 12:05:28.060052,1.0
7d84923c-e1c4-4d7f-a883-1f61be6332bf,Level 2,Player 2,normal,17.8,134,27,218,"puzzle,technical",0.087,0.989,0.991,0.769,2024-12-24 12:05:28.060052,1.0
69ea17d2-6d07-4140-91a2-f953b55656f4,Level 3,Player 3,hard,71.17,365,77,14,"platformer,speedrun",0.699,0.567,0.218,0.715,2024-12-24 12:05:28.060052,1.0
8912bbdb-b0b2-4d10-a1e6-2128a7e5e566,Level 4,Player 4,expert,42.69,589,14,151,"puzzle,technical",0.138,0.455,0.186,0.745,2024-12-24 12:05:28.060052,1.0
ab00c85e-d594-41d1-b34b-dfa52ee4566a,Level 5,Player 5,easy,51.24,96,75,208,"platformer,speedrun",0.29,0.42,0.882,0.94,2024-12-24 12:05:28.060052,1.0
24429b19-fa73-49cb-b0fa-303282de5f96,Level 6,Player 6,normal,57.7,71,7,30,"puzzle,technical",0.171,0.231,0.87,0.924,2024-12-24 12:05:28.060052,1.0
27b8f6ea-41d9-4fc4-9202-78d71128f492,Level 7,Player 7,hard,39.64,390,97,363,"platformer,speedrun",0.043,0.61,0.92,0.726,2024-12-24 12:05:28.060052,1.0
b9863310-9186-4fc9-bc03-f0d8305409ab,Level 8,Player 8,expert,37.39,743,71,206,"puzzle,technical",0.905,0.273,0.756,0.515,2024-12-24 12:05:28.060052,1.0
0aa9febc-0f68-455c-a85c-de487ca4ef43,Level 9,Player 9,easy,24.6,338,57,493,"platformer,speedrun",0.402,0.27,0.277,0.347,2024-12-24 12:05:28.060052,1.0
2ff10198-4533-4742-81ec-bac2a20054d5,Level 10,Player 10,normal,71.95,850,76,7,"puzzle,technical",0.449,0.473,0.932,0.142,2024-12-24 12:05:28.060052,1.0
f6004158-ecdd-48a8-adb0-427c4783ec67,Level 11,Player 1,hard,41.19,84,65,414,"platformer,speedrun",0.237,0.174,0.763,0.952,2024-12-24 12:05:28.060052,1.0
9019b218-0090-4800-9287-22e2b844b803,Level 12,Player 2,expert,49.23,371,96,278,"puzzle,technical",0.892,0.73,0.761,0.006,2024-12-24 12:05:28.060052,1.0
b070015d-9cf9-40a9-986c-35ee288f6e32,Level 13,Player 3,easy,78.27,569,75,293,"platformer,speedrun",0.237,0.858,0.903,0.791,2024-12-24 12:05:28.060052,1.0
a1cc48e0-ae0a-4334-ad16-36573d5d1f7d,Level 14,Player 4,normal,56.93,70,13,174,"puzzle,technical",0.438,0.634,0.429,0.814,2024-12-24 12:05:28.060052,1.0
df58e821-c86d-4e9e-8509-6581e7d0dcb0,Level 15,Player 5,hard,30.27,870,97,445,"platformer,speedrun",0.857,0.176,0.899,0.735,2024-12-24 12:05:28.060052,1.0
06ddbf70-5ee4-4c81-ab6b-c51b6abe8f3d,Level 16,Player 6,expert,27.81,568,86,321,"puzzle,technical",0.144,0.941,0.064,0.016,2024-12-24 12:05:28.060052,1.0
bf20440c-cdce-4586-97cd-5ce049c6a039,Level 17,Player 7,easy,0.44,381,22,234,"platformer,speedrun",0.784,0.677,0.4,0.771,2024-12-24 12:05:28.060052,1.0
4795a3c9-55fb-44c0-96fb-d3497af6481b,Level 18,Player 8,normal,22.83,31,83,11,"puzzle,technical",0.368,0.04,0.851,0.107,2024-12-24 12:05:28.060052,1.0
683e1064-e515-4245-bc82-b52064d82422,Level 19,Player 9,hard,34.08,429,23,189,"platformer,speedrun",0.21,0.557,0.334,0.233,2024-12-24 12:05:28.060052,1.0
91501ccc-62ee-49a6-9167-d8aef2c97f70,Level 20,Player 10,expert,30.0,930,14,110,"puzzle,technical",0.956,0.628,0.82,0.776,2024-12-24 12:05:28.060052,1.0
de12ae62-6f72-411d-92d4-20c806d59a6f,Level 21,Player 1,easy,56.7,434,29,214,"platformer,speedrun",0.793,0.552,0.311,0.855,2024-12-24 12:05:28.060052,1.0
9b0f650e-4e27-4379-a1ee-83a7658c7295,Level 22,Player 2,normal,54.47,546,49,149,"puzzle,technical",0.724,0.607,0.926,0.317,2024-12-24 12:05:28.060052,1.0
a924ebb0-5ced-43b1-b66b-63ad7c6f81ec,Level 23,Player 3,hard,63.84,730,41,110,"platformer,speedrun",0.525,0.457,0.369,0.56,2024-12-24 12:05:28.060052,1.0
3158eaf9-9367-4f83-9023-6be9b8c81d0b,Level 24,Player 4,expert,99.09,923,27,432,"puzzle,technical",0.726,0.109,0.334,0.294,2024-12-24 12:05:28.060052,1.0
410b38a5-46f8-488f-937c-ff556f390a62,Level 25,Player 5,easy,30.84,369,96,261,"platformer,speedrun",0.42,0.425,0.047,0.314,2024-12-24 12:05:28.060052,1.0
5e20f12d-712c-42c1-9a87-20b72784c00c,Level 26,Player 6,normal,59.45,217,12,86,"puzzle,technical",0.215,0.907,0.727,0.765,2024-12-24 12:05:28.060052,1.0
cd14df10-a67e-4556-aa6d-d4e4b2aef3ab,Level 27,Player 7,hard,76.26,298,18,121,"platformer,speedrun",0.698,0.891,0.031,0.939,2024-12-24 12:05:28.060052,1.0
3e3cf245-6078-4986-bb53-7cbeb95ae57d,Level 28,Player 8,expert,15.1,272,90,287,"puzzle,technical",0.712,0.936,0.812,0.665,2024-12-24 12:05:28.060052,1.0
0a3c435a-fcb3-4920-a62a-06ad446f1b7e,Level 29,Player 9,easy,1.58,36,32,439,"platformer,speedrun",0.089,0.707,0.374,0.746,2024-12-24 12:05:28.060052,1.0
4c9d207b-4849-48db-a78b-6332ce5fe435,Level 30,Player 10,normal,32.04,776,92,221,"puzzle,technical",0.994,0.01,0.368,0.427,2024-12-24 12:05:28.060052,1.0
ffac6f58-b080-43a2-b0e9-716706e9bff8,Level 31,Player 1,hard,96.7,29,36,15,"platformer,speedrun",0.075,0.535,0.919,0.404,2024-12-24 12:05:28.060052,1.0
0f996974-f021-4ad8-a445-21c1b9afc85c,Level 32,Player 2,expert,7.29,561,70,225,"puzzle,technical",0.331,0.169,0.979,0.363,2024-12-24 12:05:28.060052,1.0
1dc317f0-6555-4d2e-8810-b25503282247,Level 33,Player 3,easy,28.95,362,50,56,"platformer,speedrun",0.237,0.462,0.7,0.326,2024-12-24 12:05:28.060052,1.0
42d9bd68-8feb-47e2-9ff7-bd7e40e4e2cc,Level 34,Player 4,normal,87.07,266,11,70,"puzzle,technical",0.922,0.057,0.004,0.474,2024-12-24 12:05:28.060052,1.0
782458ee-1370-447a-8c8e-54d27596ebdb,Level 35,Player 5,hard,71.21,288,78,353,"platformer,speedrun",0.622,0.909,0.856,0.274,2024-12-24 12:05:28.060052,1.0
fcfe4be1-3fd5-41b6-9358-aa0df2752fab,Level 36,Player 6,expert,1.19,315,89,57,"puzzle,technical",0.25,0.609,0.408,0.115,2024-12-24 12:05:28.060052,1.0
7dbd0e41-02bd-4638-9ca4-9d5a97fd39f3,Level 37,Player 7,easy,59.14,681,15,480,"platformer,speedrun",0.193,0.734,0.712,0.23,2024-12-24 12:05:28.060052,1.0
449c8669-bbbf-434f-bdb4-73f7f7b2817e,Level 38,Player 8,normal,60.98,163,46,347,"puzzle,technical",0.412,0.133,0.11,0.594,2024-12-24 12:05:28.060052,1.0
f13ab78d-2639-4a6c-933d-19968dfb6788,Level 39,Player 9,hard,3.1,733,68,40,"platformer,speedrun",0.419,0.44,0.747,0.194,2024-12-24 12:05:28.060052,1.0
96fad582-8120-4af2-91f3-f763f655855f,Level 40,Player 10,expert,79.35,246,39,390,"puzzle,technical",0.097,0.728,0.864,0.37,2024-12-24 12:05:28.060052,1.0
f6cc252f-7cfa-4c1d-bd67-9d1905a7d64b,Level 41,Player 1,easy,41.18,838,25,267,"platformer,speedrun",0.161,0.129,0.865,0.721,2024-12-24 12:05:28.060052,1.0
b853b5a1-0e73-42e7-9773-8de663e4d304,Level 42,Player 2,normal,85.99,477,59,343,"puzzle,technical",0.776,0.815,0.603,0.242,2024-12-24 12:05:28.060052,1.0
195f77f6-ca9d-4ffd-8e6e-afd9d09afe26,Level 43,Player 3,hard,36.19,519,2,267,"platformer,speedrun",0.39,0.252,0.558,0.822,2024-12-24 12:05:28.060052,1.0
007481ff-b673-4245-8b4e-367c0f806280,Level 44,Player 4,expert,56.93,360,5,38,"puzzle,technical",0.486,0.777,0.132,0.091,2024-12-24 12:05:28.060052,1.0
de73f6d4-1716-4dae-b0f4-824294889222,Level 45,Player 5,easy,30.0,308,73,386,"platformer,speedrun",0.186,0.032,0.837,0.142,2024-12-24 12:05:28.060052,1.0
105e1db1-990e-4387-80ed-9927ebe0508e,Level 46,Player 6,normal,45.82,792,17,198,"puzzle,technical",0.616,0.315,0.34,0.19,2024-12-24 12:05:28.060052,1.0
7f76840f-bd94-4390-a746-100da7627bd9,Level 47,Player 7,hard,82.1,496,62,456,"platformer,speedrun",0.194,0.149,0.451,0.852,2024-12-24 12:05:28.060052,1.0
4917168b-278a-44c8-9d61-3f0468351d5b,Level 48,Player 8,expert,26.33,536,54,8,"puzzle,technical",0.156,0.899,0.272,0.754,2024-12-24 12:05:28.060052,1.0
d9bf0aef-34a0-4eee-8334-b5ffc02e89ba,Level 49,Player 9,easy,18.18,302,20,9,"platformer,speedrun",0.786,0.216,0.036,0.329,2024-12-24 12:05:28.060052,1.0
c34fb1cb-861f-407a-a2bc-bd31e725b16b,Level 50,Player 10,normal,18.87,549,34,144,"puzzle,technical",0.186,0.761,0.573,0.909,2024-12-24 12:05:28.060052,1.0
e01e6036-9b69-4732-a24a-e870f0a356e5,Level 51,Player 1,hard,58.99,804,32,93,"platformer,speedrun",0.664,0.179,0.425,0.308,2024-12-24 12:05:28.060052,1.0
